"type","name","dataflowName","datasetName","dashboardName","dashboardNames","lensName","lensNames","InSecurityPredicate","usageCount","inUse"
"dimension","Account.BillingCountry","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","CreatedDate_Year","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Quarter","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Month","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Week","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Day","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Hour","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Minute","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Second","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Year_Fiscal","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Quarter_Fiscal","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Month_Fiscal","The_Motivator","activity",,"",,"",false,0,false
"dimension","CreatedDate_Week_Fiscal","The_Motivator","activity",,"",,"",false,0,false
"dimension","Account.OwnerId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Id","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",true,3,true
"dimension","EventSubtype","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","Opportunity.AccountId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Owner.Role.RoleNames","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","Owner.UniqueUserName","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","WhatId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Owner.FullPhotoUrl","The_Motivator","activity",,"",,"",false,0,false
"dimension","CallType","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","AssignedTo.Name","The_Motivator","activity",,"",,"",false,0,false
"dimension","IsClosed","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","Owner.SmallPhotoUrl","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","Owner.Role.ParentRoleId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Account.Industry","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.Type","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","OwnerId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Owner.UserRoleId","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.Name","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","Owner.Name","The_Motivator","activity","The_Motivator_1","The_Motivator_1",,"",false,1,true
"dimension","Opportunity.CloseDate","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Year","The_Motivator","activity",,"",,"",false,0,false
"dimension","Opportunity.CloseDate_Quarter","The_Motivator","activity",,"",,"",false,0,false
